data_Publisher,data_doi,data_Title,data_Authors,relation_type_id,publication_doi,publication_type,pub_publication_titleTitle,publication_authors,citation_event_source
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.1016/j.scitotenv.2019.135573,journal-article,Passive CO2 removal in urban soils: Evidence from brownfield sites,"['Mark A. Goddard', 'Mark A. Goddard', 'Hiu Kwan Lau', 'David A. C. Manning', 'Saran Sohi', 'Samuel Ngeow', 'Peter Manning', 'M. Ehsan Jorat', 'M. Ehsan Jorat']",Scholix
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,10.1016/j.landurbplan.2022.104402,journal-article,Can citizen science provide a solution for bat friendly planning?,"[['Jennifer A.', 'Border'], ['Simon', 'Gillings'], ['Tom', 'Reynolds'], ['Gregor', 'Neeve'], ['Stuart E.', 'Newson']]",CrossRef
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,10.3390/land11030399,journal-article,The Importance of Scale and the MAUP for Robust Ecosystem Service Evaluations and Landscape Decisions,"[['Alexis', 'Comber'], ['Paul', 'Harris']]",CrossRef
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,10.3390/ijgi11030177,journal-article,Uncertainty of Historic GLAD Forest Data in Temperate Climates and Implications for Forest Change Modelling,"[['Clare', 'Price'], ['Paul', 'Elsner']]",CrossRef
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,10.1016/j.landurbplan.2021.104132,journal-article,Neighbourhood blue space and mental health: A nationwide ecological study of antidepressant medication prescribed to older adults,"[['Craig W.', 'McDougall'], ['Nick', 'Hanley'], ['Richard S.', 'Quilliam'], ['Phil J.', 'Bartie'], ['Tony', 'Robertson'], ['Michael', 'Griffiths'], ['David M.', 'Oliver']]",CrossRef
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,10.1038/s42003-021-02590-4,journal-article,Translating area-based conservation pledges into efficient biodiversity protection outcomes,"[['Charles A.', 'Cunningham'], ['Humphrey Q. P.', 'Crick'], ['Michael D.', 'Morecroft'], ['Chris D.', 'Thomas'], ['Colin M.', 'Beale']]",CrossRef
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,10.1016/j.landurbplan.2022.104590,journal-article,Not all brownfields are equal: A typological assessment reveals hidden green space in the city,"[['Paul D.', 'Preston'], ['Rachel M.', 'Dunk'], ['Graham R.', 'Smith'], ['Gina', 'Cavan']]",CrossRef
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1111/acv.12563,Wiley,The small home ranges and large local ecological impacts of pet cats,"[['R.', 'Kays'], ['R. R.', 'Dunn'], ['A. W.', 'Parsons'], ['B.', 'Mcdonald'], ['T.', 'Perkins'], ['S. A.', 'Powers'], ['L.', 'Shell'], ['J. L.', 'McDonald'], ['H.', 'Cole'], ['H.', 'Kikillus'], ['L.', 'Woods'], ['H.', 'Tindle'], ['P.', 'Roetman']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1111/1365-2664.13722,Wiley,The influence of landscape composition and configuration on crop yield resilience,"[['John W.', 'Redhead'], ['Tom H.', 'Oliver'], ['Ben A.', 'Woodcock'], ['Richard F.', 'Pywell']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1111/gcbb.12628,Wiley,Soil &amp; Water Assessment Tool (SWAT) simulated hydrological impacts of land use change from temperate grassland to energy crops: A case study in western UK,"[['Amanda J.', 'Holder'], ['Rebecca', 'Rowe'], ['Niall P.', 'McNamara'], ['Iain S.', 'Donnison'], ['Jon P.', 'McCalmont']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.3390/rs13163339,MDPI AG,Urban Growth Derived from Landsat Time Series Using Harmonic Analysis: A Case Study in South England with High Levels of Cloud Cover,"[['Matthew Nigel', 'Lawton'], ['Belén', 'Martí-Cardona'], ['Alex', 'Hagen-Zanker']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1002/ecs2.3103,Wiley,Effects of nutrient fertilization on root decomposition and carbon accumulation in intensively managed grassland soils,"[['Dario A.', 'Fornara'], ['David', 'Flynn'], ['Tancredi', 'Caruso']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1101/2020.06.05.133348,Cold Spring Harbor Laboratory,Impact of trimethoprim on the river microbiome and antimicrobial resistance,"[['J.', 'Delaney'], ['S.', 'Raguideau'], ['J.', 'Holden'], ['L.', 'Zhang'], ['H.J.', 'Tipper'], ['G.L.', 'Hill'], ['U.', 'Klümper'], ['T.', 'Zhang'], ['C.J.', 'Cha'], ['K.', 'Lee'], ['R.', 'James'], ['E.', 'Travis'], ['M.J.', 'Bowes'], ['P.M.', 'Hawkey'], ['H.S.', 'Lindstrom'], ['C.', 'Tang'], ['W.H.', 'Gaze'], ['A.', 'Mead'], ['C.', 'Quince'], ['A.', 'Singer'], ['E.M.H.', 'Wellington']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1016/j.scitotenv.2022.155042,Elsevier BV,Understanding the accuracy of modelled changes in freshwater provision over time,"[['Arjan S.', 'Gosal'], ['Paul M.', 'Evans'], ['James M.', 'Bullock'], ['John', 'Redhead'], ['Matthew B.', 'Charlton'], ['Anna F.', 'Cord'], ['Andrew', 'Johnson'], ['Guy', 'Ziv']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.3390/rs11070779,MDPI AG,A Novel Fully Automated Mapping of the Flood Extent on SAR Images Using a Supervised Classifier,"[['Abdelhakim', 'Benoudjit'], ['Raffaella', 'Guida']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1002/ece3.8744,Wiley,"Highest densities of mountain hares (
            <i>Lepus timidus</i>
            ) associated with ecologically restored bog but not grouse moorland management","[['Carlos P. E.', 'Bedson'], ['Philip M.', 'Wheeler'], ['Neil', 'Reid'], ['Wilson Edwin', 'Harris'], ['David', 'Mallon'], ['Simon', 'Caporn'], ['Richard', 'Preziosi']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1080/00063657.2020.1725421,Informa UK Limited,"Placement, survival and predator identity of Eurasian Curlew <i>Numenius arquata</i> nests on lowland grass-heath","[['Natalia B.', 'Zielonka'], ['Robert W.', 'Hawkes'], ['Helen', 'Jones'], ['Robert J.', 'Burnside'], ['Paul M.', 'Dolman']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1111/icad.12578,Wiley,Moth declines are most severe in broadleaf woodlands despite a net gain in habitat availability,"[['Dan', 'Blumgart'], ['Marc S.', 'Botham'], ['Rosa', 'Menéndez'], ['James R.', 'Bell']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1029/2021gb007023,American Geophysical Union (AGU),Contrasting Estuarine Processing of Dissolved Organic Matter Derived From Natural and Human‐Impacted Landscapes,"[['E. Elena', 'García‐Martín'], ['Richard', 'Sanders'], ['Chris D.', 'Evans'], ['Vassilis', 'Kitidis'], ['Dan J.', 'Lapworth'], ['Andrew P.', 'Rees'], ['Bryan M.', 'Spears'], ['Andy', 'Tye'], ['Jennifer L.', 'Williamson'], ['Chris', 'Balfour'], ['Mike', 'Best'], ['Michael', 'Bowes'], ['Sarah', 'Breimann'], ['Ian J.', 'Brown'], ['Annette', 'Burden'], ['Nathan', 'Callaghan'], ['Stacey L.', 'Felgate'], ['James', 'Fishwick'], ['Mike', 'Fraser'], ['Stuart W.', 'Gibb'], ['Pete J.', 'Gilbert'], ['Nina', 'Godsell'], ['Africa P.', 'Gomez‐Castillo'], ['Geoff', 'Hargreaves'], ['Oban', 'Jones'], ['Paul', 'Kennedy'], ['Anna', 'Lichtschlag'], ['Adrian', 'Martin'], ['Rebecca', 'May'], ['Edward', 'Mawji'], ['Ian', 'Mounteney'], ['Philip D.', 'Nightingale'], ['Justyna P.', 'Olszewska'], ['Stuart C.', 'Painter'], ['Christopher R.', 'Pearce'], ['M. Glória', 'Pereira'], ['Kate', 'Peel'], ['Amy', 'Pickard'], ['John A.', 'Stephens'], ['Mark', 'Stinchcombe'], ['Peter', 'Williams'], ['E. Malcolm S.', 'Woodward'], ['Deborah', 'Yarrow'], ['Daniel J.', 'Mayor']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.3390/s19224891,MDPI AG,"Development of Land-Use/Land-Cover Maps Using Landsat-8 and MODIS Data, and Their Integration for Hydro-Ecological Applications","[['Sadia', 'Afrin'], ['Anil', 'Gupta'], ['Babak', 'Farjad'], ['M.', 'Ahmed'], ['Gopal', 'Achari'], ['Quazi K.', 'Hassan']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1016/j.agee.2021.107300,Elsevier BV,A regional-scale study of associations between farmland birds and linear woody networks of hedgerows and trees,"[['Richard K.', 'Broughton'], ['Jordan', 'Chetcuti'], ['Malcolm D.', 'Burgess'], ['France F.', 'Gerard'], ['Richard F.', 'Pywell']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.3390/rs12111799,MDPI AG,"Uncertainty in Parameterizing Floodplain Forest Friction for Natural Flood Management, Using Remote Sensing","[['Alexander S.', 'Antonarakis'], ['David J.', 'Milan']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1016/j.actao.2021.103742,Elsevier BV,Splitting hares: Current and future ecological niches predicted as distinctly different for two congeneric lagomorphs,"[['Carlos P.E.', 'Bedson'], ['Christian', 'Devenish'], ['Elias', 'Symeonakis'], ['David', 'Mallon'], ['Neil', 'Reid'], ['W.', 'Edwin Harris'], ['Richard', 'Preziosi']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1016/j.scitotenv.2020.140243,Elsevier BV,Vehicular tracks and the influence of land use and habitat protection in the British uplands,"[['Ben', 'Clutterbuck'], ['Wilmie', 'Burton'], ['Carl', 'Smith'], ['Richard W.', 'Yarnell']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1016/j.baae.2021.11.001,Elsevier BV,Establishment and management of wildflower areas for insect pollinators in commercial orchards,"[['Claire', 'Carvell'], ['Nadine', 'Mitschunas'], ['Rachel', 'McDonald'], ['Sarah', 'Hulmes'], ['Lucy', 'Hulmes'], ['Rory S.', ""O'Connor""], ['Michael P.D.', 'Garratt'], ['Simon G.', 'Potts'], ['Michelle T.', 'Fountain'], ['Dinara', 'Sadykova'], ['Mike', 'Edwards'], ['Marek', 'Nowakowski'], ['Richard F.', 'Pywell'], ['John W.', 'Redhead']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1016/j.scitotenv.2021.150162,Elsevier BV,Brownfield sites promote biodiversity at a landscape scale,"[['Callum J.', 'Macgregor'], ['M. Jane', 'Bunting'], ['Pauline', 'Deutz'], ['Nigel A.D.', 'Bourn'], ['David B.', 'Roy'], ['Will M.', 'Mayes']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1007/s11252-020-00997-1,Springer Science and Business Media LLC,Effects of urbanisation and landscape heterogeneity mediated by feeding guild and body size in a community of coprophilous beetles,"[['Christopher W.', 'Foster'], ['Christopher', 'Kelly'], ['Jordan J.', 'Rainey'], ['Graham J.', 'Holloway']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1016/j.jas.2022.105628,Elsevier BV,Putting South-West England on the (strontium isotope) map: A possible origin for highly radiogenic 87Sr/86Sr values from southern Britain,"[['Gundula', 'Müldner'], ['Delphine', 'Frémondeau'], ['Jane', 'Evans'], ['Alexis', 'Jordan'], ['Steven', 'Rippon']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1007/s10344-020-01379-w,Springer Science and Business Media LLC,"Modelling Eurasian beaver foraging habitat and dam suitability, for predicting the location and number of dams throughout catchments in Great Britain","[['Hugh A.', 'Graham'], ['Alan', 'Puttock'], ['William W.', 'Macfarlane'], ['Joseph M.', 'Wheaton'], ['Jordan T.', 'Gilbert'], ['Róisín', 'Campbell-Palmer'], ['Mark', 'Elliott'], ['Martin J.', 'Gaywood'], ['Karen', 'Anderson'], ['Richard E.', 'Brazier']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1016/j.biocon.2019.07.009,Elsevier BV,The effectiveness of herbicides for management of tor-grass (Brachypodium pinnatum s.l.) in calcareous grassland,"[['John W.', 'Redhead'], ['Marek', 'Nowakowski'], ['Lucy E.', 'Ridding'], ['Markus', 'Wagner'], ['Richard F.', 'Pywell']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1111/ibi.12888,Wiley,"Using citizen science to assess drivers of Common House Martin
            <i>Delichon urbicum</i>
            breeding performance","[['Esther F.', 'Kettel'], ['Ian D.', 'Woodward'], ['Dawn E.', 'Balmer'], ['David G.', 'Noble']]",DataCite
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.1080/00063657.2020.1863333,Informa UK Limited,"Wilding of a post-industrial site provides a habitat refuge for an endangered woodland songbird, the British Willow Tit <i>Poecile montanus kleinschmidti</i>","[['Richard K.', 'Broughton'], ['Wayne', 'Parry'], ['Marta', 'Maziarz']]",DataCite
Polar Data Centre (PDC),10.5285/a7f28dea-64f7-43b5-bc39-a6cfcdeefbda,"Summary of instrumentation installed in boreholes drilled into Khumbu Glacier, Nepal, in 2017 and 2018 as part of EverDrill research project","['Hubbard, Bryn', 'Miles, Katie', 'Quincey, Duncan', 'Miles, Evan']",IsReferencedBy,10.5285/d80f5c86-89a7-46d6-8718-47e3d34ab368,dataset,"Borehole optical televiewer (OPTV) logs of boreholes drilled into Khumbu Glacier, Nepal, in 2017 and 2018 as part of EverDrill research project","['Hubbard, Bryn', 'Miles, Katie', 'Quincey, Duncan']",Scholix
Polar Data Centre (PDC),10.5285/a7f28dea-64f7-43b5-bc39-a6cfcdeefbda,"Summary of instrumentation installed in boreholes drilled into Khumbu Glacier, Nepal, in 2017 and 2018 as part of EverDrill research project","['Hubbard, Bryn', 'Miles, Katie', 'Quincey, Duncan', 'Miles, Evan']",IsReferencedBy,10.1038/s41598-018-34327-5,journal-article,Polythermal structure of a Himalayan debris-covered glacier revealed by borehole thermometry,[],Scholix
Polar Data Centre (PDC),10.5285/a7f28dea-64f7-43b5-bc39-a6cfcdeefbda,"Summary of instrumentation installed in boreholes drilled into Khumbu Glacier, Nepal, in 2017 and 2018 as part of EverDrill research project","['Hubbard, Bryn', 'Miles, Katie', 'Quincey, Duncan', 'Miles, Evan']",IsReferencedBy,10.5285/1846aa2c-7617-4daf-9928-60a336e256a6,dataset,"Ice tilt time-series from sensors installed in boreholes drilled into Khumbu Glacier, Nepal, in 2017 and 2018 as part of EverDrill research project","['Hubbard, Bryn', 'Miles, Katie', 'Doyle, Samuel', 'Quincey, Duncan', 'Miles, Evan']",Scholix
Polar Data Centre (PDC),10.5285/a7f28dea-64f7-43b5-bc39-a6cfcdeefbda,"Summary of instrumentation installed in boreholes drilled into Khumbu Glacier, Nepal, in 2017 and 2018 as part of EverDrill research project","['Hubbard, Bryn', 'Miles, Katie', 'Quincey, Duncan', 'Miles, Evan']",IsReferencedBy,10.5285/6be7d300-b42c-42f4-af59-2138e2a4dfe4,dataset,"Ice temperature time-series from sensors installed in boreholes drilled into Khumbu Glacier, Nepal, in 2017 and 2018 as part of EverDrill research project","['Hubbard, Bryn', 'Miles, Katie', 'Doyle, Samuel', 'Quincey, Duncan', 'Miles, Evan']",Scholix
